episode_id,date,start,end,n_obs,length_hours
431,2025-08-02,2025-08-02 08:05:00+02:00,2025-08-02 23:55:00+02:00,191,15.916666666666666
432,2025-08-03,2025-08-03 00:00:00+02:00,2025-08-03 02:40:00+02:00,33,2.75
433,2025-08-03,2025-08-03 04:55:00+02:00,2025-08-03 23:55:00+02:00,229,19.083333333333332
434,2025-08-04,2025-08-04 00:00:00+02:00,2025-08-04 02:50:00+02:00,35,2.9166666666666665
435,2025-08-04,2025-08-04 04:55:00+02:00,2025-08-04 14:00:00+02:00,110,9.166666666666666
436,2025-08-04,2025-08-04 16:05:00+02:00,2025-08-04 23:55:00+02:00,95,7.916666666666667
437,2025-08-05,2025-08-05 00:00:00+02:00,2025-08-05 02:40:00+02:00,33,2.75
438,2025-08-05,2025-08-05 06:10:00+02:00,2025-08-05 12:55:00+02:00,82,6.833333333333333
439,2025-08-05,2025-08-05 15:05:00+02:00,2025-08-05 23:05:00+02:00,97,8.083333333333334
440,2025-08-06,2025-08-06 05:10:00+02:00,2025-08-06 08:00:00+02:00,35,2.9166666666666665
441,2025-08-06,2025-08-06 11:05:00+02:00,2025-08-06 13:00:00+02:00,24,2.0
442,2025-08-06,2025-08-06 19:05:00+02:00,2025-08-06 21:00:00+02:00,24,2.0
443,2025-08-07,2025-08-07 00:15:00+02:00,2025-08-07 02:40:00+02:00,30,2.5
444,2025-08-07,2025-08-07 10:05:00+02:00,2025-08-07 15:55:00+02:00,71,5.916666666666667
445,2025-08-07,2025-08-07 16:05:00+02:00,2025-08-07 21:05:00+02:00,61,5.083333333333333
446,2025-08-08,2025-08-08 00:00:00+02:00,2025-08-08 02:50:00+02:00,35,2.9166666666666665
447,2025-08-08,2025-08-08 04:55:00+02:00,2025-08-08 19:05:00+02:00,171,14.25
448,2025-08-08,2025-08-08 21:05:00+02:00,2025-08-08 23:55:00+02:00,35,2.9166666666666665
449,2025-08-09,2025-08-09 04:40:00+02:00,2025-08-09 08:55:00+02:00,52,4.333333333333333
450,2025-08-09,2025-08-09 12:05:00+02:00,2025-08-09 23:55:00+02:00,143,11.916666666666666
451,2025-08-10,2025-08-10 00:00:00+02:00,2025-08-10 03:35:00+02:00,44,3.6666666666666665
452,2025-08-10,2025-08-10 07:10:00+02:00,2025-08-10 10:55:00+02:00,46,3.8333333333333335
453,2025-08-10,2025-08-10 11:05:00+02:00,2025-08-10 23:00:00+02:00,144,12.0
454,2025-08-11,2025-08-11 00:00:00+02:00,2025-08-11 02:50:00+02:00,35,2.9166666666666665
455,2025-08-11,2025-08-11 04:55:00+02:00,2025-08-11 23:55:00+02:00,229,19.083333333333332
