station,adf_stat,p_value
Donnersbergerbruecke,-13.049196301340848,2.159712843954662e-24
Hackerbruecke,-12.681503373571879,1.1842352578600657e-23
Hauptbahnhof_tief,-6.790577904520562,2.3704168489860143e-09
Karlsplatz_Stachus,-3.1639074125185225,0.022171242913683355
Marienplatz,-5.3904889710985024,3.5465392680974283e-06
Isartor,-5.940143690514295,2.2711475945087114e-07
Rosenheimer_Platz,-4.727764295491211,7.460680723233391e-05
Ostbahnhof,-4.3364088219306325,0.00038396129623193947
Leuchtenbergring,-4.784093177417616,5.832741373768277e-05
Pasing,-6.11223153100631,9.273415861781644e-08
Laim,-4.214254373436116,0.0006232332930100459
Hirschgarten,-11.903078789162166,5.516511485810713e-22
Donnersbergerbruecke,-3.496017307730403,0.008089969097852106
Hackerbruecke,-4.585791291086838,0.0001371871028395367
Hauptbahnhof_tief,-3.300393015215094,0.014860915838809295
Karlsplatz_Stachus,-4.282281731014068,0.00047666429165890326
Marienplatz,-4.923750949833308,3.1346003138031414e-05
Isartor,-3.9483404107315776,0.0017065307504301002
Rosenheimer_Platz,-5.089264632481176,1.4732804795029968e-05
Ostbahnhof,-11.28181170591703,1.4499575507576415e-20
Leuchtenbergring,-4.3773081253763735,0.0003255168167611848
Pasing,-9.263222873442187,1.3889640913083205e-15
Laim,-5.504437639053509,2.0368198130684177e-06
Hirschgarten,-11.11362579581448,3.608373899261773e-20
Donnersbergerbruecke,-10.853614808684403,1.5069294184783808e-19
Hackerbruecke,-7.571562153922192,2.8323290966011154e-11
Hauptbahnhof_tief,-7.874798184559137,4.876382601327266e-12
Karlsplatz_Stachus,-7.712270147235605,1.2546906520629491e-11
Marienplatz,-10.439110815003332,1.538513345112182e-18
Isartor,-11.207362156485942,2.1680261124323554e-20
Rosenheimer_Platz,-4.909875925044858,3.3363125986696335e-05
Ostbahnhof,-2.898615551585646,0.04550922700906244
Leuchtenbergring,-4.704434035595009,8.255352031156321e-05
Pasing,-10.086263304170958,1.1532553583091089e-17
Laim,-2.557286435648622,0.10215048373107105
Hirschgarten,-13.551451262442699,2.404995734709528e-25
Donnersbergerbruecke,-5.75607049537014,5.815950602018342e-07
Hackerbruecke,-6.763593031769299,2.7526750332496606e-09
Hauptbahnhof_tief,-6.318466717040223,3.108235184404335e-08
Karlsplatz_Stachus,-7.858897577892832,5.349800785027552e-12
Marienplatz,-6.062722851879134,1.2018249224823986e-07
Isartor,-6.337528065200506,2.8066824279924476e-08
Rosenheimer_Platz,-7.595120523247823,2.4720802832116865e-11
Ostbahnhof,-5.919997398777993,2.5196461190749293e-07
Leuchtenbergring,-4.1406343066579785,0.0008291128958248318
Pasing,-9.955888731051221,2.444929900057336e-17
Laim,-6.0963199820972305,1.0080634290918034e-07
Hirschgarten,-3.963876349368746,0.001611936535780854
Donnersbergerbruecke,-2.6879739050534783,0.0761425282242933
Hackerbruecke,-4.594170706883071,0.00013240327384902333
Hauptbahnhof_tief,-5.542932703440245,1.6856683166103703e-06
Karlsplatz_Stachus,-3.9613614733828406,0.0016269108180255655
Marienplatz,-5.40843958941658,3.2516610440468937e-06
Isartor,-2.7189859003827532,0.07081010628862297
Rosenheimer_Platz,-5.096320826908252,1.4259779567994835e-05
Ostbahnhof,-4.937619767661411,2.9447370867129376e-05
Leuchtenbergring,-4.786346841875389,5.7752778724851765e-05
Pasing,-8.243897126969305,5.621141148019158e-13
Laim,-4.338156915593716,0.000381272350954173
Hirschgarten,-3.0833252870930705,0.02781205551963247
Donnersbergerbruecke,-4.399861621688677,0.0002970000479451724
Hackerbruecke,-3.0118446598883626,0.0338029664833395
