station,adf_stat,p_value
Rosenheimer_Platz,-7.9211098257173,3.7221941771006966e-12
Ostbahnhof,-8.596677801037233,7.04687268963587e-14
Leuchtenbergring,-7.126442628253986,3.609955214357541e-10
Pasing,-7.798903098969716,7.585861367311999e-12
Laim,-4.31538075683518,0.0004177442428004134
Hirschgarten,-3.2195859400092566,0.018878593692764605
Donnersbergerbruecke,-3.0611703407954014,0.029563425745858723
Hackerbruecke,-2.8821250181662603,0.047466449363850145
Hauptbahnhof_tief,-3.520023144018037,0.0074875040017822895
Karlsplatz_Stachus,-3.5908361453987614,0.0059386571519771045
Marienplatz,-2.4707322507909266,0.12275883651685293
Isartor,-2.276333745926411,0.1797144390200176
Rosenheimer_Platz,-3.104010048771442,0.02625784671548451
Ostbahnhof,-3.376574384482646,0.011783847472985153
Leuchtenbergring,-3.399697700003901,0.010969181311989713
Pasing,-9.638674105671317,1.5417878932989857e-16
Laim,3.566480718695451,1.0
Hirschgarten,3.4520802671048854,1.0
Donnersbergerbruecke,3.8547638357481135,1.0
Hackerbruecke,-5.494316203296589,2.14038901479367e-06
Hauptbahnhof_tief,-5.5566819646716565,1.5751501958585414e-06
Karlsplatz_Stachus,-6.174744436622982,6.672582662773345e-08
Marienplatz,-5.201342739447604,8.736756942844768e-06
Isartor,-3.9768904385960715,0.001536473037418449
Rosenheimer_Platz,-3.087316531975246,0.02750617215324525
Ostbahnhof,-4.151249886882936,0.0007959238941729347
Leuchtenbergring,-5.7056694234559835,7.498474237488096e-07
Pasing,-12.684106105684979,1.1697429254686893e-23
Laim,-14.443238141384573,7.300500806417372e-27
Hirschgarten,-12.884231203820011,4.590138650103021e-24
Donnersbergerbruecke,-9.020852742644584,5.780858236335792e-15
Hackerbruecke,-12.967575418770215,3.1299964479247075e-24
Hauptbahnhof_tief,-7.905512702283935,4.076801072223555e-12
Karlsplatz_Stachus,-8.808343880786252,2.02293294269028e-14
Marienplatz,-7.954339650865646,3.0658304311921766e-12
Isartor,-7.868414323628315,5.061224192464703e-12
Rosenheimer_Platz,-5.491862203222945,2.1662619908724993e-06
Ostbahnhof,-7.324702800865239,1.1692749221788586e-10
Leuchtenbergring,-7.3088744968742585,1.2799002066943068e-10
Pasing,-3.4797090032915237,0.00852376043291854
Laim,-3.278492473164328,0.01586766447418635
Hirschgarten,-2.970070050086476,0.03778559987466876
Donnersbergerbruecke,-2.995377397911081,0.03532835403656387
Hackerbruecke,-2.913180960478876,0.04383656130203174
Hauptbahnhof_tief,-2.7662594324572773,0.06325733819408513
Karlsplatz_Stachus,-3.4512534453802624,0.009330900707453828
Marienplatz,-2.732634066811048,0.06855938020865616
Isartor,-2.255582673623824,0.18669365419423029
Rosenheimer_Platz,-2.49288346458875,0.1172154705929348
Ostbahnhof,-2.2961997297842505,0.17319656389970928
Leuchtenbergring,-2.6748904514636207,0.07848501198000339
Pasing,-12.004470703636295,3.2883511359721765e-22
Laim,-13.95581895326702,4.6136298493385217e-26
Hirschgarten,-7.307647831841041,1.2888947303128814e-10
