code_a,code_b,lift,gemeinsame_fenster
7,10,2.0631129817373,19
36,37,2.0540086531042765,24
2,35,2.0481211208351726,9
3,23,2.0280367875925727,92
28,41,2.021614954213947,100
13,67,1.9849743279975836,12
17,55,1.9781942096677534,7
17,34,1.9781254716506513,43
6,51,1.976718102057875,15
25,54,1.9766165413533836,13
5,54,1.9519843577907854,30
13,61,1.9453879453879455,12
23,28,1.9398612750885478,47
41,60,1.9286810130351568,17
5,13,1.9266339115857103,24
51,61,1.9194627344294186,75
32,69,1.9122749590834696,3
23,49,1.9080602705788992,15
6,45,1.907308119245754,70
22,42,1.898039796854783,19
24,48,1.8848815589858576,11
44,49,1.8708806875376314,76
22,31,1.8671451089206723,22
57,62,1.8608058608058609,3
32,60,1.855192124483963,5
36,68,1.854060908111825,24
2,10,1.847324932517999,23
13,45,1.8452940658324297,51
47,61,1.8428191609210944,63
5,47,1.8395384711381233,127
7,54,1.83622770369029,27
42,49,1.8313054381646774,21
22,45,1.8311948844401724,35
38,58,1.8301371888037572,81
7,28,1.8213960772420428,52
2,8,1.819726834468241,105
7,49,1.8005511484273333,17
23,62,1.7992916174734357,4
3,47,1.7938318820897907,41
13,33,1.783514246947083,7
18,48,1.7673824488153105,19
32,55,1.7644076013956556,95
18,47,1.7600803414511672,1
25,61,1.7558373250680943,64
34,58,1.7495589156606106,112
8,57,1.746087095135146,45
15,48,1.7384829912976358,55
50,51,1.724752434648898,4
23,33,1.7140266788842091,74
31,54,1.712591949187047,36
54,61,1.708187134502924,13
60,64,1.7047998061373897,19
48,68,1.6998811163500778,59
8,23,1.6883652076926616,60
3,5,1.6858046726374964,96
38,49,1.6827187307701819,44
10,61,1.6783739136680313,8
5,21,1.6778900967096206,52
14,51,1.6764700958873426,20
6,41,1.672651590479217,45
21,55,1.6597726065019178,33
7,33,1.658593735671605,86
48,63,1.6528961363414445,33
25,67,1.6516004344492716,59
14,55,1.6494474269902415,27
6,7,1.6428443097401126,26
37,45,1.638842480612423,15
49,61,1.63710242398767,8
42,69,1.6367711608504807,6
13,38,1.6360317293851772,54
22,48,1.6354947543398415,107
3,7,1.633554843718582,89
21,58,1.6300576959445425,5
8,61,1.6296812887928027,36
3,67,1.628299253435518,45
3,21,1.625658392503783,17
42,54,1.6238492832648193,28
7,21,1.6214046494386682,49
13,44,1.6186378880729713,83
6,44,1.6154432394000138,110
21,33,1.607674814149483,16
22,44,1.6073763653492326,57
14,45,1.5944943326145131,92
6,23,1.5936268665764108,21
26,55,1.5924845278599482,3
40,69,1.5923076923076924,3
21,23,1.5896430423260828,40
