code_a,code_b,anteil_b_folgt_a,n_a
67,2,0.25387405209363667,3033
58,45,0.2507987220447284,626
22,5,0.25071225071225073,351
63,38,0.25,88
24,38,0.25,36
24,5,0.25,36
63,41,0.25,88
35,51,0.24770642201834864,109
2,44,0.2472534745201853,7555
54,34,0.2440944881889764,508
47,34,0.24371953505811775,2667
64,34,0.24140666314119513,11346
25,36,0.24051081943951755,2819
11,48,0.24,50
62,45,0.2391304347826087,92
63,36,0.23863636363636365,88
42,34,0.2372248680653881,7769
47,36,0.23659542557180352,2667
38,36,0.2364012677058405,15461
23,36,0.23592233009708738,5150
5,36,0.23583951449763993,5932
60,22,0.23529411764705882,170
3,64,0.23529411764705882,1717
54,38,0.234251968503937,508
49,45,0.23376623376623376,308
32,34,0.23255022131426625,2937
57,36,0.23195435092724678,3505
43,44,0.2315403318687881,70329
51,34,0.23119203023016147,2911
45,34,0.2308396086987121,14209
5,34,0.2306136210384356,5932
13,34,0.23015873015873015,378
61,45,0.2299445471349353,2705
42,36,0.22975929978118162,7769
44,36,0.22868621315718315,25887
45,36,0.22865789288479133,14209
44,34,0.22741144203654343,25887
23,45,0.22679611650485437,5150
48,45,0.226775956284153,47946
57,34,0.22624821683309557,3505
42,45,0.22602651563907838,7769
40,45,0.22509550396708786,3403
13,36,0.22486772486772486,378
6,36,0.22452504317789293,579
50,45,0.22413793103448276,116
48,34,0.22348058232177867,47946
61,34,0.22255083179297597,2705
24,42,0.2222222222222222,36
22,34,0.2222222222222222,351
69,45,0.2222222222222222,126
69,34,0.2222222222222222,126
24,7,0.2222222222222222,36
25,34,0.22206456190138346,2819
5,45,0.22167902899527983,5932
32,36,0.2216547497446374,2937
10,44,0.22160664819944598,361
11,23,0.22,50
11,32,0.22,50
11,45,0.22,50
11,34,0.22,50
64,36,0.21998942358540455,11346
28,36,0.21991701244813278,964
48,36,0.21843323739206608,47946
41,36,0.21807425540595676,9804
10,38,0.21606648199445982,361
33,34,0.216,1875
36,34,0.21561683599419448,17225
26,5,0.21495327102803738,107
69,61,0.21428571428571427,126
10,45,0.21329639889196675,361
38,34,0.21247008602289633,15461
60,36,0.21176470588235294,170
7,34,0.21167593328038126,5036
41,34,0.21113831089351284,9804
47,45,0.21034870641169853,2667
34,36,0.20984032320123125,20792
69,38,0.20634920634920634,126
3,45,0.20617355853232383,1717
68,38,0.20588235294117646,102
40,36,0.20481927710843373,3403
25,45,0.2032635686413622,2819
8,44,0.2024373730534868,1477
34,45,0.20204886494805693,20792
35,36,0.2018348623853211,109
40,38,0.20070526006464884,3403
36,45,0.2004644412191582,17225
31,44,0.1990632318501171,7686
32,45,0.19884235614572693,2937
67,36,0.1974942301351797,3033
6,2,0.19689119170984457,579
26,42,0.19626168224299065,107
19,67,0.19607843137254902,51
19,51,0.19607843137254902,51
19,47,0.19607843137254902,51
19,57,0.19607843137254902,51
19,44,0.19607843137254902,51
68,23,0.19607843137254902,102
19,14,0.19607843137254902,51
58,34,0.19488817891373802,626
57,45,0.19457917261055635,3505
24,64,0.19444444444444445,36
24,34,0.19444444444444445,36
3,36,0.19336051252184042,1717
63,55,0.19318181818181818,88
35,48,0.1926605504587156,109
51,45,0.19237375472346271,2911
21,36,0.19123841617523168,1187
2,34,0.19060225016545335,7555
17,5,0.18994413407821228,179
43,34,0.18946664960400403,70329
49,2,0.18831168831168832,308
25,38,0.18659098971266405,2819
15,64,0.18652849740932642,193
68,32,0.18627450980392157,102
67,34,0.18562479393339928,3033
54,36,0.18503937007874016,508
58,38,0.18370607028753994,626
8,34,0.18280297901150983,1477
2,36,0.18213103904698874,7555
6,38,0.18134715025906736,579
38,45,0.1811655132268288,15461
21,45,0.18028643639427128,1187
43,36,0.17978358856232848,70329
